player_name,duration,event,daily_load,atl,weekly_load,monotony,strain,acwr,ctl28,ctl42,fatigue,mood,readiness,sleep_duration,sleep_quality,soreness,stress
TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,115.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,517.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,705.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,13.0,True,0.0,300.0,2100.0,0.86,1806.0,2.793816353138387,161.07,107.38,4.0,4.0,8.0,7.5,4.0,3.0,3.0
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,675.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,277.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,713.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,263.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,3.0,7.0,8.5,3.0,2.0,3.0
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,133.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,700.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,712.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,623.0,True,700.0,100.0,700.0,0.41,287.0,5.998800239952009,25.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-9c845827-99f9-47f4-977d-2200a107a013,202.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,406.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,662.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,680.0,False,0.0,145.71,1020.0,0.62,632.4,1.8545246277205043,117.86,78.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,17.0,True,720.0,725.71,5080.0,1.48,7518.4,2.652739700990606,410.36,273.57,2.0,3.0,7.0,8.5,3.0,3.0,2.0
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,264.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,3.0,3.0,4.0,7.0,3.0,3.0,3.0
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,203.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamB-f67673c0-d467-4832-9519-55133a2647e5,691.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
