player_name,entry_date,event,event_date,final_obs_date,duration
TeamB-08e35b7b-d2ad-411f-a0de-4e663f14c3c3,2021-08-30,False,,2021-12-23,115.0
TeamB-29c5271b-5c46-455e-91ea-da2abfa8ff3c,2020-07-20,False,,2021-12-19,517.0
TeamB-2f23d7d5-2326-49ce-b9c8-5a6303f785c5,2020-01-09,False,,2021-12-14,705.0
TeamB-4405bb1f-56f7-48ba-bfa8-e795e4006952,2020-01-13,True,2020-01-26 00:00:00,2020-01-26,13.0
TeamB-48bfd4ea-e9e2-45b5-befc-3383cae87fdf,2020-02-17,False,,2021-12-23,675.0
TeamB-4b1e23d2-4204-4e16-9991-e0490649079b,2021-02-12,False,,2021-11-16,277.0
TeamB-4d54416a-8e5f-42c0-8dd0-12700569908f,2020-01-09,False,,2021-12-22,713.0
TeamB-5eba590a-cecb-400f-a92e-08224c7e2e59,2021-01-11,False,,2021-10-01,263.0
TeamB-6d568bee-175f-4dcb-9d3a-0f3e8f35de07,2021-08-10,False,,2021-12-21,133.0
TeamB-70b74270-f655-43cc-a188-1ebc7a828b95,2020-01-09,False,,2021-12-09,700.0
TeamB-789547e7-1325-4153-a98d-5ecd497f3668,2020-01-09,False,,2021-12-21,712.0
TeamB-7ab47f4e-6eca-4793-880f-6a0dad3459c3,2020-01-21,True,2021-10-05 00:00:00,2021-10-05,623.0
TeamB-9c845827-99f9-47f4-977d-2200a107a013,2020-10-01,False,,2021-04-21,202.0
TeamB-a7126274-c2d2-4f4e-9b67-35d376aefacc,2020-01-23,False,,2021-03-04,406.0
TeamB-ab5ec6e5-b0f3-401e-8dc5-aa6c5070e255,2020-02-03,False,,2021-11-26,662.0
TeamB-ab691983-3544-4a0e-8f70-db44d85cb907,2020-02-20,False,,2021-12-31,680.0
TeamB-afc13e53-2c77-48cb-8a78-743663bbb84f,2020-01-09,True,2020-01-26 00:00:00,2020-01-26,17.0
TeamB-d9501f3a-aaa1-4311-8b8b-3a8d3f21480f,2021-01-17,False,,2021-10-08,264.0
TeamB-e1f63352-01cb-4688-9486-5c6f1e5cf0cd,2021-06-03,False,,2021-12-23,203.0
TeamB-f67673c0-d467-4832-9519-55133a2647e5,2020-02-01,False,,2021-12-23,691.0
