player_name,duration,event,daily_load,atl,weekly_load,monotony,strain,acwr,ctl28,ctl42,fatigue,mood,readiness,sleep_duration,sleep_quality,soreness,stress
TeamA-0362cdd5-7a63-480a-a46a-62a99fb1692f,205.0,False,350.0,300.0,2100.0,1.38,2898.0,1.422137947380896,243.21,210.95,5.0,5.0,10.0,8.5,4.0,5.0,5.0
TeamA-32fed4b3-d7fc-482d-ba21-c46c58f015b5,119.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamA-358603ef-b3a3-46b5-b80a-ad64e06b6592,543.0,False,300.0,448.57,3140.0,1.71,5369.4,1.4753165597763525,373.57,304.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamA-560cb066-a8ae-412f-b09f-0d2a6aa0cf05,37.0,True,700.0,215.71,1510.0,0.81,1223.1,0.8096310475547048,244.64,266.43,4.0,4.0,8.0,9.0,4.0,3.0,2.0
TeamA-5a3be598-2f51-426f-95a5-b63d1d7c1b43,650.0,False,0.0,301.43,2110.0,0.96,2025.6,0.7154589257316465,385.36,421.31,3.0,5.0,8.0,9.0,3.0,4.0,5.0
TeamA-5a5b135d-d146-4b4c-b3da-efcd4d203f95,16.0,True,150.0,367.14,2570.0,1.33,3418.1,3.041504432110016,181.07,120.71,3.0,3.0,7.0,8.5,3.0,3.0,3.0
TeamA-67961019-dbb5-464b-839e-08e5896c2c42,381.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamA-705923a2-378f-4f8e-8a29-464837b88cdc,526.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamA-74afe68c-f348-414c-9754-6d6f9df12587,2.0,True,0.0,302.86,2120.0,0.62,1314.4,5.99960380348653,75.71,50.48,2.0,4.0,3.0,9.0,4.0,2.0,3.0
TeamA-78f2ae2c-caf7-47eb-9e84-521f7820182e,702.0,False,630.0,461.43,3230.0,1.52,4909.6,1.2242769965508093,433.21,376.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamA-7a0fe0d4-c3f7-4ba1-8210-2ee9354d331e,204.0,False,810.0,527.14,3690.0,1.53,5645.7,3.217996459312618,210.71,163.81,3.0,3.0,7.0,8.0,2.0,3.0,3.0
TeamA-7bc0ccd4-dcb0-434f-8954-a9de6e33809a,164.0,True,180.0,527.14,3690.0,1.34,4944.6,1.0960390893024223,498.93,480.95,3.0,3.0,7.0,8.0,3.0,1.0,3.0
TeamA-967090b2-87d4-476b-adba-56cfaf65ba87,331.0,False,300.0,484.29,3390.0,2.33,7898.7,1.6377193872374964,339.29,295.71,3.0,4.0,9.0,8.0,3.0,4.0,4.0
TeamA-af719df9-3e6c-4ad4-9e8e-0c0c45f4f76a,650.0,False,720.0,310.0,2170.0,1.03,2235.1,1.2714818916369304,272.86,243.81,3.0,3.0,8.0,7.0,4.0,4.0,3.0
TeamA-bcc03f81-2733-45d3-abf1-f7a709c63e68,52.0,True,1120.0,160.0,1120.0,0.41,459.2,5.999250093738282,40.0,26.67,2.0,3.0,5.0,8.5,3.0,1.0,4.0
TeamA-c4ccf1a6-48c3-4a17-8d6c-eedd12e8680e,58.0,True,0.0,202.86,1420.0,0.71,1008.2,1.6938877755511021,176.43,119.76,3.0,4.0,7.0,7.0,3.0,3.0,3.0
TeamA-c91a44bb-976c-421f-b146-f57e1e5b0846,150.0,False,0.0,271.43,1900.0,0.95,1805.0,2.19231079880462,155.36,123.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamA-d7299614-fa73-4f69-b5e9-f913e3154ff6,535.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamA-e920ae60-5c4b-4597-be27-fc6876dcec33,628.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamA-ecdbd8ec-61a7-4131-97ec-3af76f621f65,651.0,False,60.0,106.43,745.0,0.65,484.25,0.5508514052067699,224.11,193.21,3.0,3.0,5.0,8.0,4.0,3.0,3.0
TeamA-f20565cc-df22-46a7-aa97-af8ed00601d7,557.0,False,540.0,502.86,3520.0,0.91,3203.2,2.4331543039628394,310.0,206.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
